"name","handedness","height","weight","avg","HR","BMI","rand","adj_BMI","power","log10HR","lm","range"
"Jerry White","B",70,164,0.253,21,23.52897959,0.01,23.54,83.00395257,1.322219295,1.356211861,"healthy"
"Dave Roberts","L",75,195,0.194,7,24.37066667,-0.04,24.33,36.08247423,0.84509804,1.421324774,"healthy"
"Jim Mason","L",74,185,0.203,12,23.75,-0.33,23.42,59.11330049,1.079181246,1.37331,"healthy"
"Willie Smith","L",72,182,0.248,46,24.68094136,-0.02,24.66,185.483871,1.662757832,1.445327624,"healthy"
"Jose Arcia","R",75,170,0.215,1,21.24622222,0.45,21.7,4.651162791,0,1.179617751,"healthy"
"Leon Durham","L",73,185,0.277,147,24.40514168,-0.28,24.13,530.6859206,2.167317335,1.42399176,"healthy"
"Paul Householder","B",72,180,0.236,29,24.40972222,0.46,24.87,122.8813559,1.462397998,1.424346111,"healthy"
"Jimmy Stewart","B",72,165,0.237,8,22.3755787,-0.04,22.34,33.75527426,0.903089987,1.266984768,"healthy"
"Dick Phillips","L",72,180,0.229,12,24.40972222,0.18,24.59,52.40174672,1.079181246,1.424346111,"healthy"
"Andres Thomas","R",73,170,0.234,42,22.42634641,0.21,22.63,179.4871795,1.62324929,1.270912158,"healthy"
"Mike de la Hoz","R",71,175,0.251,25,24.40487998,0.33,24.73,99.60159363,1.397940009,1.423971515,"healthy"
"Frank Taveras","R",72,155,0.255,2,21.01948302,-0.28,20.74,7.843137255,0.301029996,1.162077206,"healthy"
"Joe Nossek","R",72,178,0.228,3,24.13850309,0.39,24.52,13.15789474,0.477121255,1.403364599,"healthy"
"Larry Stahl","L",72,175,0.232,36,23.73167438,-0.27,23.46,155.1724138,1.556302501,1.37189233,"healthy"
"Jose Cruz","L",72,170,0.284,165,23.05362654,-0.41,22.64,580.9859155,2.217483944,1.319438549,"healthy"
"Don Mason","L",71,160,0.205,3,22.31303313,-0.12,22.19,14.63414634,0.477121255,1.262146243,"healthy"
"Bill Robinson","R",74,189,0.258,166,24.26351351,-0.02,24.25,643.4108527,2.220108088,1.413035405,"healthy"
"Bob Tillman","R",76,205,0.232,79,24.95065789,-0.29,24.66,340.5172414,1.897627091,1.466192894,"healthy"
"Pat Corrales","R",72,180,0.216,4,24.40972222,0.31,24.72,18.51851852,0.602059991,1.424346111,"healthy"
