name,handedness,height,weight,avg,HR,BMI,power,log10HR,lm
Larry Harlow,L,74,185,0.248,12,23.75,48.38709677,1.079181246,1.37331
Mike Epstein,L,75,230,0.244,130,28.74488889,532.7868852,2.113943352,1.759714605
Jerry Mumphrey,B,74,185,0.289,70,23.75,242.2145329,1.84509804,1.37331
Glenn Beckert,R,73,190,0.283,22,25.0647401,77.7385159,1.342422681,1.475018294
Ron Davis,R,72,175,0.233,10,23.73167438,42.91845494,1,1.37189233
Mike Shannon,R,75,195,0.255,68,24.37066667,266.6666667,1.832508913,1.421324774
Jason Thompson,L,76,200,0.261,208,24.34210526,796.9348659,2.318063335,1.419115263
Wayne Tolleson,B,69,160,0.241,9,23.6252888,37.34439834,0.954242509,1.363662342
Mike Jorgensen,L,72,195,0.243,95,26.44386574,390.9465021,1.977723605,1.581707454
Ed Romero,R,71,160,0.247,8,22.31303313,32.38866397,0.903089987,1.262146243
Rick Joseph,R,73,192,0.243,13,25.32857947,53.49794239,1.113943352,1.495428908
Cecil Cooper,L,74,165,0.298,241,21.18243243,808.7248322,2.382017043,1.174682973
Bill Almon,R,75,180,0.254,36,22.496,141.7322835,1.556302501,1.27630056
Joe Ferguson,R,74,200,0.24,122,25.67567568,508.3333333,2.086359831,1.522280271
Jerry Terrell,R,71,165,0.253,4,23.01031541,15.81027668,0.602059991,1.316088
Dave Revering,L,76,210,0.265,62,25.55921053,233.9622642,1.792391689,1.513270527
Curt Ford,L,70,150,0.245,7,21.52040816,28.57142857,0.84509804,1.200828775
Jerry Dybzinski,R,74,180,0.234,3,23.10810811,12.82051282,0.477121255,1.323653243
Bob Burda,L,71,174,0.224,13,24.26542353,58.03571429,1.113943352,1.413183164
Jesse Gonder,L,70,180,0.251,26,25.8244898,103.5856574,1.414973348,1.533792531
Gary Sutherland,R,72,185,0.243,24,25.08777006,98.7654321,1.380211242,1.476799892
Bob Coluccio,R,71,183,0.22,26,25.52053164,118.1818182,1.414973348,1.510278328
Dave Rader,L,71,165,0.257,30,23.01031541,116.7315175,1.477121255,1.316088
Ron Gardenhire,R,72,175,0.232,4,23.73167438,17.24137931,0.602059991,1.37189233
Bill Sharp,L,70,178,0.255,9,25.53755102,35.29411765,0.954242509,1.511594947
